station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
37770,99999,1929,11,26,47.799999237060547,4,43.700000762939453,4,,,,,2.2000000476837158,4,12.199999809265137,4,18.100000381469727,,46,false,,,,,false,false,false,false,false,false
38940,99999,1930,12,29,48,4,40.5,4,,,,,11.199999809265137,4,14.300000190734863,4,18.100000381469727,,46,false,,,,,false,false,false,false,false,false
31590,99999,1931,9,14,55.799999237060547,4,,,,,,,,,7,4,8.8999996185302734,,51.099998474121094,false,,,0,,false,false,false,false,false,false
726810,24131,1931,1,17,32.700000762939453,24,30.700000762939453,8,,,,,3.2000000476837158,24,2.0999999046325684,24,7,,30.399999618530273,true,,,,,true,true,true,true,true,true
726810,24131,1932,11,4,44.200000762939453,24,20.299999237060547,8,,,,,38.5,24,8.5,24,15.899999618530273,,38.299999237060547,true,,,0,,false,false,false,false,false,false
726815,24106,1932,2,19,11.100000381469727,24,,,,,,,14.899999618530273,24,8,24,13,,0.30000001192092896,true,,,0,,false,false,false,false,false,false
726810,24131,1932,7,10,81.800003051757812,24,30.399999618530273,8,,,,,42.299999237060547,24,10.100000381469727,24,14,,72.300003051757812,true,,,0,,false,false,false,false,false,false
726815,24106,1932,1,15,21.5,24,,,,,,,21.700000762939453,24,15.300000190734863,24,26,,16.299999237060547,true,,,,,false,false,false,false,false,false
726815,24106,1932,11,1,47.5,24,,,,,,,31.899999618530273,24,6.6999998092651367,24,20,,38.299999237060547,true,,,0,,false,false,false,false,false,false
307100,99999,1933,5,22,51.299999237060547,4,,,,,,,,,9.3000001907348633,4,18.100000381469727,,36,false,,,,,false,false,false,false,false,false